"","State","POPESTIMATE2010","POPESTIMATE2011","POPESTIMATE2012","POPESTIMATE2013","POPESTIMATE2014","POPESTIMATE2015","POPESTIMATE2016","POPESTIMATE2017","POPESTIMATE2018","POPESTIMATE2019"
"1","ALABAMA",12392612,12429617,12472797,12510553,12541136,12568404,12598128,12627700,12662766,12703908
"2","ALASKA",1642587,1662255,1681854,1697461,1696628,1701430,1712349,1709537,1699631,1691673
"3","ARIZONA",14447093,14587670,14765104,14934429,15150696,15368510,15618382,15851689,16109119,16382609
"4","ARKANSAS",6962791,7002361,7026405,7039700,7054433,7075911,7100774,7125532,7142892,7158158
"5","CALIFORNIA",80878990,81555464,82216312,82874620,83593558,84277979,84806757,85217461,85434523,85540445
"6","COLORADO",12379001,12557114,12730927,12915872,13112619,13352635,13565449,13742788,13935653,14096861
"7","CONNECTICUT",12893613,12925639,12949250,12948853,12946226,12918573,12885718,12868326,12862626,12841284
"8","DELAWARE",2466231,2487680,2509107,2533012,2557988,2582308,2603799,2625498,2648963,2672229
"9","FLORIDA",47008526,47522846,48139684,48767682,49518799,50432883,51456398,52343555,53065512,53673379
"10","GEORGIA",25620726,25856318,26114716,26310006,26571410,26875925,27215197,27513150,27785249,28062035
"11","HAWAII",3345090,3382935,3420757,3453308,3466929,3483597,3495639,3485389,3474099,3461243
"12","IDAHO",3696667,3725451,3749970,3784608,3828417,3873608,3945125,4025930,4100764,4183243
"13","ILLINOIS",39459467,39531987,39561908,39589462,39549073,39466649,39351334,39222221,39047399,38882995
"14","INDIANA",18538415,18609154,18668438,18755467,18823411,18861983,18930823,18995972,19098653,19198762
"15","IOWA",7248779,7285207,7308122,7346573,7386009,7412795,7436750,7458097,7473460,7487786
"16","KANSAS",6830477,6853818,6888608,6904946,6919336,6936359,6937801,6930304,6936462,6941598
"17","KENTUCKY",10695875,10745616,10780343,10819060,10839342,10863187,10889991,10922326,10945254,10961256
"18","LOUISIANA",11569492,11645149,11706039,11763556,11812228,11863971,11900708,11884182,11858135,11832246
"19","MAINE",4368649,4372112,4371376,4373165,4382303,4376241,4387245,4399281,4415121,4433896
"20","MARYLAND",14147915,14282327,14403287,14496575,14583398,14658134,14716453,14782039,14828923,14872022
"21","MASSACHUSETTS",19290772,19429965,19567169,19712037,19851985,19947354,20033579,20143967,20217727,20256366
"22","MICHIGAN",29598531,29630497,29684352,29752675,29828168,29852163,29928075,30018117,30079317,30114550
"23","MINNESOTA",12421055,12495047,12555815,12634173,12713988,12778553,12866837,12963119,13052311,13124707
"24","MISSISSIPPI",7632036,7653103,7667186,7679367,7682559,7676447,7675683,7677710,7660569,7648650
"25","MISSOURI",15110785,15142274,15174474,15214629,15252753,15292471,15335337,15390578,15435399,15478839
"26","MONTANA",2435811,2450824,2465317,2488235,2508934,2528721,2555408,2584638,2605366,2625361
"27","NEBRASKA",4187451,4213590,4243090,4272210,4307523,4338087,4374229,4401637,4428189,4452267
"28","NEVADA",6410606,6435755,6511986,6590641,6692067,6812981,6936670,7061933,7198679,7319857
"29","NEW HAMPSHIRE",4387041,4397913,4412209,4420631,4443020,4453198,4473606,4495777,4512463,4533883
"30","NEW JERSEY",26259078,26336125,26376646,26406964,26427352,26433549,26438906,26481851,26487812,26477735
"31","NEW MEXICO",4914914,4951626,4967096,4977462,4969640,4967882,4973140,4973719,4975586,4984283
"32","NEW YORK",67726732,68052018,68277556,68435944,68514092,68510373,68430003,68295889,68114794,67865102
"33","NORTH CAROLINA",24822398,25033689,25264501,25497540,25722579,25973357,26284191,26571991,26859625,27129789
"34","NORTH DAKOTA",1658567,1682513,1718479,1764117,1795461,1829368,1828453,1827838,1833213,1841442
"35","OHIO",30509582,30525536,30528588,30594409,30659953,30692548,30734915,30801697,30851811,30890516
"36","OKLAHOMA",9707262,9779992,9858854,9949117,10016977,10101156,10148630,10163155,10187327,10232905
"37","OREGON",9735376,9824527,9894198,9953993,10057846,10192089,10378011,10510759,10605524,10693463
"38","PENNSYLVANIA",36835089,36943081,37008102,37044481,37092620,37093436,37097231,37131938,37189776,37214184
"39","RHODE ISLAND",2947993,2947444,2950159,2952254,2954697,2955592,2958337,2956660,2964360,2967926
"40","SOUTH CAROLINA",12816653,12919680,13046352,13176608,13341625,13529198,13708721,13882182,14055039,14232125
"41","SOUTH DAKOTA",2036171,2054085,2077871,2098574,2113554,2123887,2145334,2167863,2180977,2193925
"42","TENNESSEE",15645207,15746396,15870463,15967766,16080896,16199443,16332377,16489308,16643977,16788853
"43","TEXAS",67038718,68134028,69334314,70425863,71759688,73154439,74366535,75407609,76309583,77298159
"44","UTAH",5802272,5884136,5965417,6057771,6141404,6236243,6360120,6484061,6594475,6704799
"45","VERMONT",2308029,2312328,2308499,2309382,2305943,2305855,2300005,2301776,2301277,2299855
"46","VIRGINIA",17246843,17425454,17606136,17754795,17882200,17998231,18107782,18235345,18323421,18398629
"47","WASHINGTON",15992874,16190146,16351580,16505109,16716768,16969157,17278401,17584753,17824977,18038291
"48","WEST VIRGINIA",5032255,5038404,5040000,5032300,5021310,5002032,4972976,4935826,4902762,4870428
"49","WISCONSIN",14079912,14116450,14149103,14190263,14224560,14246614,14276382,14323657,14372044,14412423
"50","WYOMING",1305100,1310935,1331243,1344063,1345012,1352090,1349479,1338108,1335625,1338720
