"","State","White","Black or African American","American Indian and Alaska Native","Asian","Native Hawaiian and Other Pacific Islander","Some other race","Two or more races","Hispanic or Latino Origin","White alone, not Hispanic or Latino"
"1","ALABAMA","67.8","26.9","0.5","1.3","0","1.5","1.9","4.5","65.1"
"2","ALASKA",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","ARIZONA","78.3","4.7","4.6","3.3","0.2","5","3.9","31.7","54"
"4","ARKANSAS","76.7","15.5","0.6","1.5","0.4","2.5","2.8","7.7","72"
"5","CALIFORNIA","59.4","5.8","0.8","14.8","0.4","13.7","5","39.4","36.3"
"6","COLORADO","83.7","4.2","1","3.3","0.1","3.6","4","21.8","67.5"
"7","CONNECTICUT","74.6","11.1","0.3","4.7","0","5.6","3.7","16.9","65.6"
"8","DELAWARE","67.7","22.5","0.4","3.8","0","2.4","3.1","9.6","61.3"
"9","DISTRICT OF COLUMBIA","42.5","45.4","0.3","4.1","0","4.4","3.3","11.3","37.3"
"10","FLORIDA","74.5","16","0.3","2.8","0.1","3.4","2.9","26.4","53"
"11","GEORGIA","57.8","31.9","0.4","4.1","0.1","3","2.7","9.8","51.8"
"12","HAWAII","24.1","1.9","0.4","38.7","10.8","1.7","22.4","10.7","21.5"
"13","IDAHO","89.4","0.7","1.3","1.5","0.1","3.8","3.3","12.8","81.6"
"14","ILLINOIS","71.4","14.1","0.3","5.7","0","5.8","2.8","17.5","60.7"
"15","INDIANA","82.8","9.6","0.3","2.5","0","2.2","2.6","7.2","78.3"
"16","IOWA","89.9","4.1","0.4","2.4","0.1","1","2.2","6.3","85.1"
"17","KANSAS","83.6","5.7","0.8","3","0.1","3","3.7","12.2","75.4"
"18","KENTUCKY","86.7","8.1","0.2","1.6","0.1","0.9","2.3","3.8","84.2"
"19","LOUISIANA","61.8","32.4","0.6","1.8","0","1.4","2","5.4","58.2"
"20","MAINE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","MARYLAND","54.5","30.3","0.3","6.4","0","5.1","3.4","10.6","49.8"
"22","MASSACHUSETTS","77","7.9","0.3","6.9","0","4.3","3.6","12.4","70.3"
"23","MICHIGAN","78.2","13.7","0.6","3.3","0","1.1","3","5.3","74.7"
"24","MINNESOTA","82.1","6.6","1","5.1","0","1.9","3.3","5.6","78.9"
"25","MISSISSIPPI",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","MISSOURI","81.8","11.5","0.4","2.1","0.2","1.2","2.8","4.3","79.1"
"27","MONTANA",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","NEBRASKA","86.2","4.9","1","2.5","0.1","2.6","2.8","11.3","78.4"
"29","NEVADA","64.6","9.6","1.4","8.5","0.7","10.5","4.7","29.2","47.8"
"30","NEW HAMPSHIRE","92.6","1.6","0.1","2.6","0.1","0.8","2.2","4","89.7"
"31","NEW JERSEY","67.1","13.6","0.2","9.6","0","6.4","3","20.9","54.3"
"32","NEW MEXICO","73.9","2.3","9.5","1.7","0","9","3.5","49.3","36.8"
"33","NEW YORK","63.2","15.9","0.4","8.6","0","8.6","3.3","19.3","55.1"
"34","NORTH CAROLINA","68.1","21.5","1.2","3","0.1","3.4","2.8","9.8","62.5"
"35","NORTH DAKOTA",NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","OHIO","80.9","12.6","0.2","2.3","0","1","2.9","4","78.3"
"37","OKLAHOMA","72.4","7.3","8","2.3","0.1","2.3","7.6","11.1","64.9"
"38","OREGON","83.5","1.8","1.2","4.6","0.3","3.6","4.9","13.4","74.9"
"39","PENNSYLVANIA","79.6","11.4","0.2","3.5","0","2.6","2.6","7.8","75.6"
"40","RHODE ISLAND","78.7","7.4","0.3","3.5","0","5.9","4.2","16.3","70.8"
"41","SOUTH CAROLINA","66.7","26.5","0.4","1.7","0.1","2.2","2.4","5.8","63.5"
"42","SOUTH DAKOTA",NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","TENNESSEE","77.2","16.7","0.3","1.8","0.1","1.6","2.3","5.7","73.3"
"44","TEXAS","73.4","12.3","0.5","5","0.1","5.9","2.9","39.7","41.1"
"45","UTAH","87.3","1.2","1.1","2.4","1","3.8","3.2","14.4","77.7"
"46","VERMONT",NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","VIRGINIA","67","19.4","0.3","6.6","0.1","2.9","3.8","9.7","61.1"
"48","WASHINGTON","74.2","4","1.4","9","0.7","4.8","6","13","67.3"
"49","WEST VIRGINIA",NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","WISCONSIN","85.2","6.4","0.9","2.9","0.1","2.1","2.4","7.1","80.8"
"51","WYOMING",NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","PUERTO RICO","64.3","12.4","0.1","0.2","0","15.9","7.1","98.2","1.3"
